File name	Prim	Kruskal	Kruskal Efficient
input_random_01_10.txt	29316	29316	29316
input_random_02_10.txt	16940	16940	16940
input_random_03_10.txt	-44448	-44448	-44448
input_random_04_10.txt	25217	25217	25217
input_random_05_20.txt	-32021	-32021	-32021
input_random_06_20.txt	25130	-3429	25130
input_random_07_20.txt	-41693	-41693	-41693
input_random_08_20.txt	-37205	-37205	-37205
input_random_09_40.txt	-114203	-114203	-114203
input_random_10_40.txt	-31929	-31929	-31929
input_random_11_40.txt	-79570	-79570	-79570
input_random_12_40.txt	-79741	-79741	-79741
input_random_13_80.txt	-139926	-175888	-139926
input_random_14_80.txt	-198094	-198094	-198094
input_random_15_80.txt	-110571	-166735	-110571
input_random_16_80.txt	-233320	-233320	-233320
input_random_17_100.txt	-141960	-141960	-141960
input_random_18_100.txt	-271743	-271743	-271743
input_random_19_100.txt	-288906	-288906	-288906
input_random_20_100.txt	-226733	-229506	-229506
input_random_21_200.txt	-510185	-510185	-510185
input_random_22_200.txt	-515136	-515136	-515136
input_random_23_200.txt	-432589	-444357	-444357
input_random_24_200.txt	-387537	-393278	-393278
input_random_25_400.txt	-1078316	-1119906	-1119906
input_random_26_400.txt	-772017	-788168	-788168
input_random_27_400.txt	-869213	-895704	-895704
input_random_28_400.txt	-726707	-733645	-733645
input_random_29_800.txt	-1458276	-1541291	-1541291
input_random_30_800.txt	-1514882	-1578294	-1578294
input_random_31_800.txt	-1585668	-1664316	-1664316
input_random_32_800.txt	-1656230	-1652119	-1652119
input_random_33_1000.txt	-1989736	-2089013	-2089013
input_random_34_1000.txt	-1855939	-1934208	-1934208
input_random_35_1000.txt	-2164846	-2229428	-2229428
input_random_36_1000.txt	-2270015	-2356163	-2356163
input_random_37_2000.txt	-4482363	-4811598	-4811598
input_random_38_2000.txt	-4327127	-4739387	-4739387
input_random_39_2000.txt	-4413948	-4717250	-4717250
input_random_40_2000.txt	-4150512	-4537267	-4537267
